invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I252084,C221995,Male,50,Souvenir,4,46.92,Cash,25/05/2021,Metrocity
I182889,C318802,Male,49,Clothing,2,600.16,Credit Card,22/03/2021,Metrocity
I106271,C263812,Male,31,Clothing,1,300.08,Debit Card,22/12/2022,Mall of Istanbul
I112481,C321609,Male,29,Food & Beverage,5,26.15,Cash,7/7/2021,Cevahir AVM
I263818,C336232,Male,69,Souvenir,4,46.92,Cash,26/06/2022,Zorlu Center
I174966,C325906,Male,27,Food & Beverage,5,26.15,Cash,25/07/2022,Mall of Istanbul
I159487,C104985,Male,36,Clothing,1,300.08,Cash,9/7/2021,Emaar Square Mall
I235828,C267333,Male,21,Books,5,75.75,Cash,14/12/2021,Metrocity
I281274,C130479,Male,20,Clothing,1,300.08,Cash,4/9/2022,Kanyon
I142738,C208738,Male,24,Clothing,4,1200.32,Credit Card,3/1/2021,Kanyon
I133240,C999586,Male,58,Toys,3,107.52,Credit Card,14/06/2022,Zorlu Center
I215906,C296862,Male,21,Clothing,4,1200.32,Debit Card,13/08/2021,Mall of Istanbul
I247747,C101550,Male,35,Shoes,2,1200.34,Cash,11/1/2022,Istinye Park
I133197,C330779,Male,68,Cosmetics,2,81.32,Credit Card,4/2/2021,Forum Istanbul
I115679,C266462,Male,27,Clothing,1,300.08,Cash,10/1/2023,Kanyon
I130799,C103944,Male,42,Clothing,3,900.24,Credit Card,30/06/2021,Metrocity
I199384,C260889,Male,58,Books,4,60.6,Credit Card,24/03/2022,Kanyon
I299125,C290344,Male,27,Souvenir,4,46.92,Credit Card,21/11/2022,Kanyon
I293086,C312155,Male,55,Cosmetics,3,121.98,Credit Card,18/02/2021,Kanyon
I305432,C986860,Male,39,Toys,3,107.52,Credit Card,26/01/2023,Mall of Istanbul
I224122,C236428,Male,44,Clothing,5,1500.4,Credit Card,1/7/2022,Mall of Istanbul
I117526,C154184,Male,48,Cosmetics,5,203.3,Credit Card,23/09/2022,Emaar Square Mall
I320007,C294024,Male,45,Clothing,5,1500.4,Debit Card,18/10/2021,Metrocity
I339004,C790567,Male,64,Clothing,4,1200.32,Credit Card,15/07/2022,Mall of Istanbul
I139437,C799447,Male,38,Souvenir,5,58.65,Credit Card,31/05/2021,Mall of Istanbul
I420592,C334281,Male,57,Food & Beverage,4,20.92,Debit Card,25/09/2022,Kanyon
I122118,C276111,Male,38,Cosmetics,5,203.3,Cash,15/11/2022,Metrocity
I297539,C277924,Male,65,Food & Beverage,3,15.69,Credit Card,7/8/2021,Mall of Istanbul
I339496,C286466,Male,30,Clothing,1,300.08,Debit Card,25/05/2021,Metropol AVM
I615452,C453635,Male,26,Shoes,1,600.17,Debit Card,6/3/2022,Metrocity
I123315,C230018,Male,46,Clothing,2,600.16,Debit Card,1/4/2021,Zorlu Center
I182578,C238063,Male,54,Shoes,4,2400.68,Cash,13/02/2022,Kanyon
I403818,C308584,Male,62,Books,5,75.75,Cash,15/06/2022,Viaport Outlet
I959992,C241523,Male,55,Food & Beverage,3,15.69,Cash,1/7/2022,Metrocity
I300847,C329153,Male,41,Toys,5,179.2,Credit Card,11/1/2022,Istinye Park
I170966,C126702,Male,54,Food & Beverage,5,26.15,Credit Card,5/12/2022,Istinye Park
I230221,C287787,Male,34,Clothing,1,300.08,Cash,21/04/2021,Metropol AVM
I155404,C100484,Male,48,Toys,4,143.36,Cash,19/09/2022,Metrocity
I959386,C885556,Male,25,Shoes,1,600.17,Credit Card,25/11/2022,Mall of Istanbul
I737965,C944366,Male,64,Clothing,5,1500.4,Cash,9/11/2022,Kanyon
I125700,C244973,Male,49,Shoes,5,3000.85,Credit Card,10/6/2022,Forum Istanbul
I585560,C306892,Male,21,Shoes,2,1200.34,Cash,17/02/2023,Mall of Istanbul
I191967,C266819,Male,63,Cosmetics,5,203.3,Credit Card,8/8/2022,Kanyon
I304567,C317897,Male,30,Souvenir,2,23.46,Credit Card,8/3/2023,Forum Istanbul
I232809,C545424,Male,66,Shoes,5,3000.85,Credit Card,2/10/2021,Metrocity
I162719,C402433,Male,53,Clothing,5,1500.4,Credit Card,11/12/2021,Emaar Square Mall
I252528,C333065,Male,47,Technology,5,5250.0,Debit Card,4/10/2022,Cevahir AVM
I308341,C282397,Male,29,Clothing,4,1200.32,Cash,17/05/2021,Istinye Park
I278519,C129976,Male,69,Technology,3,3150.0,Debit Card,24/09/2022,Cevahir AVM
I306136,C324783,Male,26,Food & Beverage,1,5.23,Cash,18/10/2022,Metrocity
I240224,C281502,Male,53,Food & Beverage,1,5.23,Cash,16/10/2021,Mall of Istanbul
I434983,C107399,Male,45,Souvenir,2,23.46,Credit Card,29/07/2021,Istinye Park
I735039,C285422,Male,50,Clothing,1,300.08,Cash,1/8/2022,Metropol AVM
I319997,C217049,Male,31,Clothing,5,1500.4,Credit Card,3/4/2021,Istinye Park
I228150,C141094,Male,62,Clothing,5,1500.4,Cash,21/11/2021,Zorlu Center
I177957,C653357,Male,65,Clothing,4,1200.32,Cash,4/7/2021,Cevahir AVM
I638444,C229733,Male,57,Shoes,2,1200.34,Credit Card,21/02/2022,Metropol AVM
I177317,C331880,Male,53,Food & Beverage,4,20.92,Cash,16/04/2021,Mall of Istanbul
I323436,C153958,Male,39,Food & Beverage,5,26.15,Debit Card,6/5/2022,Kanyon
I241028,C803666,Male,50,Clothing,2,600.16,Debit Card,16/12/2021,Emaar Square Mall
I131492,C729802,Male,61,Food & Beverage,3,15.69,Cash,8/12/2021,Kanyon
I252340,C252250,Male,44,Food & Beverage,5,26.15,Credit Card,23/02/2021,Mall of Istanbul
I269945,C310975,Male,64,Food & Beverage,1,5.23,Credit Card,14/02/2022,Kanyon
I293115,C109758,Male,50,Clothing,2,600.16,Credit Card,20/05/2022,Viaport Outlet
I180632,C214463,Male,45,Clothing,1,300.08,Credit Card,15/10/2021,Istinye Park
I721903,C284031,Male,29,Food & Beverage,2,10.46,Cash,9/1/2023,Mall of Istanbul
I995914,C259260,Male,65,Technology,3,3150.0,Credit Card,22/11/2021,Metrocity
I318626,C270238,Male,54,Cosmetics,3,121.98,Credit Card,23/09/2022,Istinye Park
I284431,C308978,Male,44,Technology,4,4200.0,Credit Card,24/06/2022,Metropol AVM
I334469,C221607,Male,46,Toys,5,179.2,Cash,4/7/2021,Kanyon
I568785,C115148,Male,37,Food & Beverage,5,26.15,Cash,23/08/2021,Metropol AVM
I194798,C258089,Male,41,Technology,2,2100.0,Cash,7/7/2022,Mall of Istanbul
I236520,C222102,Male,42,Toys,3,107.52,Credit Card,13/02/2022,Viaport Outlet
I295482,C209440,Male,24,Shoes,3,1800.51,Credit Card,17/10/2022,Zorlu Center
I301404,C232103,Male,40,Clothing,3,900.24,Credit Card,24/03/2021,Cevahir AVM
I207389,C947114,Male,25,Clothing,3,900.24,Debit Card,17/12/2022,Kanyon
I237018,C115431,Male,30,Food & Beverage,4,20.92,Cash,19/11/2022,Mall of Istanbul
I216889,C122371,Male,57,Clothing,2,600.16,Credit Card,16/03/2022,Mall of Istanbul
I284262,C127339,Male,29,Food & Beverage,3,15.69,Cash,23/07/2021,Kanyon
I508173,C246364,Male,31,Cosmetics,3,121.98,Debit Card,23/01/2022,Metropol AVM
I763131,C195413,Male,26,Clothing,5,1500.4,Cash,16/01/2021,Mall of Istanbul
I702817,C264767,Male,30,Books,5,75.75,Credit Card,16/10/2022,Kanyon
I208491,C299172,Male,56,Clothing,1,300.08,Cash,18/01/2023,Kanyon
I337030,C994327,Male,65,Food & Beverage,2,10.46,Cash,27/09/2022,Metrocity
I197620,C249092,Male,26,Food & Beverage,2,10.46,Cash,8/4/2022,Metrocity
I730771,C432132,Male,23,Clothing,5,1500.4,Debit Card,5/8/2022,Metrocity
I637675,C194330,Male,56,Clothing,4,1200.32,Cash,28/06/2021,Kanyon
I842493,C202057,Male,48,Clothing,3,900.24,Debit Card,25/07/2021,Mall of Istanbul
I156991,C315209,Male,56,Food & Beverage,2,10.46,Debit Card,14/02/2021,Emaar Square Mall
I943403,C232330,Male,64,Toys,1,35.84,Cash,20/09/2022,Mall of Istanbul
I454983,C737782,Male,28,Souvenir,5,58.65,Debit Card,12/4/2022,Mall of Istanbul
I338302,C123201,Male,49,Cosmetics,4,162.64,Debit Card,3/10/2021,Viaport Outlet
I328822,C230641,Male,51,Food & Beverage,3,15.69,Cash,13/06/2022,Metrocity
I168181,C805154,Male,22,Clothing,3,900.24,Credit Card,1/7/2021,Metrocity
I130124,C216257,Male,49,Clothing,3,900.24,Credit Card,15/08/2022,Viaport Outlet
I154490,C100507,Male,33,Clothing,5,1500.4,Cash,24/01/2022,Mall of Istanbul
I214545,C111827,Male,40,Souvenir,4,46.92,Cash,5/12/2021,Metropol AVM
I213589,C203955,Male,68,Technology,2,2100.0,Cash,12/10/2021,Viaport Outlet
I186663,C281091,Male,38,Toys,1,35.84,Debit Card,24/06/2021,Kanyon
I103389,C231964,Male,19,Cosmetics,1,40.66,Cash,9/5/2021,Kanyon
I115322,C315386,Male,55,Food & Beverage,1,5.23,Credit Card,1/10/2021,Forum Istanbul
I268628,C633946,Male,27,Cosmetics,3,121.98,Cash,21/05/2021,Mall of Istanbul
I214007,C119440,Male,38,Toys,4,143.36,Credit Card,25/03/2022,Metrocity
I480974,C230305,Male,34,Food & Beverage,2,10.46,Debit Card,10/5/2021,Mall of Istanbul
I126095,C197131,Male,23,Food & Beverage,5,26.15,Credit Card,24/03/2022,Metropol AVM
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,19/10/2021,Zorlu Center
I265860,C247868,Male,60,Food & Beverage,4,20.92,Credit Card,15/03/2022,Mall of Istanbul
I118757,C242041,Male,43,Clothing,1,300.08,Credit Card,21/07/2022,Kanyon
I313516,C892871,Male,55,Books,4,60.6,Cash,29/03/2021,Metrocity
I223795,C280596,Male,40,Clothing,3,900.24,Cash,26/12/2022,Metrocity
I273435,C282097,Male,59,Food & Beverage,4,20.92,Credit Card,6/11/2021,Emaar Square Mall
I127616,C179726,Male,24,Books,5,75.75,Debit Card,12/12/2021,Kanyon
I295712,C181939,Male,31,Food & Beverage,2,10.46,Cash,25/06/2022,Mall of Istanbul
I936118,C229670,Male,22,Food & Beverage,3,15.69,Cash,19/02/2023,Istinye Park
I242648,C269986,Male,39,Food & Beverage,1,5.23,Cash,22/06/2022,Metrocity
I725938,C191300,Male,26,Cosmetics,3,121.98,Debit Card,16/10/2022,Metropol AVM
I299480,C167158,Male,44,Shoes,2,1200.34,Credit Card,9/12/2022,Metrocity
I293208,C103073,Male,61,Shoes,1,600.17,Cash,7/2/2022,Mall of Istanbul
I251779,C555827,Male,55,Toys,5,179.2,Debit Card,12/3/2022,Zorlu Center
I843249,C211245,Male,53,Cosmetics,4,162.64,Cash,4/1/2021,Kanyon
I230701,C339339,Male,34,Clothing,2,600.16,Credit Card,19/02/2023,Emaar Square Mall
I111055,C474896,Male,68,Technology,1,1050.0,Credit Card,26/08/2022,Mall of Istanbul
I570709,C140082,Male,58,Shoes,1,600.17,Debit Card,8/9/2021,Cevahir AVM
I251307,C240510,Male,58,Shoes,1,600.17,Debit Card,1/1/2022,Mall of Istanbul
I117277,C292758,Male,47,Clothing,1,300.08,Credit Card,11/1/2023,Istinye Park
I222401,C305749,Male,56,Food & Beverage,5,26.15,Cash,22/05/2021,Viaport Outlet
I263185,C316261,Male,33,Clothing,5,1500.4,Cash,9/3/2021,Kanyon
I311849,C178487,Male,27,Technology,5,5250.0,Debit Card,21/04/2021,Cevahir AVM
I137332,C205731,Male,50,Shoes,4,2400.68,Cash,3/5/2021,Istinye Park
I127930,C576719,Male,54,Clothing,1,300.08,Cash,15/11/2022,Kanyon
I258931,C254022,Male,19,Cosmetics,3,121.98,Credit Card,20/10/2021,Emaar Square Mall
I234673,C245349,Male,69,Food & Beverage,4,20.92,Credit Card,8/7/2021,Metropol AVM
I201131,C363987,Male,62,Clothing,1,300.08,Cash,25/10/2022,Cevahir AVM
I251311,C145797,Male,40,Shoes,4,2400.68,Credit Card,29/04/2022,Emaar Square Mall
I437948,C141984,Male,26,Food & Beverage,5,26.15,Cash,22/08/2022,Metrocity
I325555,C162986,Male,21,Technology,4,4200.0,Credit Card,30/01/2023,Metrocity
I332361,C296477,Male,42,Clothing,3,900.24,Cash,18/01/2022,Kanyon
I317628,C134069,Male,33,Food & Beverage,3,15.69,Credit Card,11/9/2021,Mall of Istanbul
I742907,C186098,Male,62,Clothing,1,300.08,Cash,22/09/2021,Metropol AVM
I271714,C285261,Male,26,Toys,1,35.84,Cash,20/03/2021,Emaar Square Mall
I457421,C214662,Male,48,Cosmetics,4,162.64,Cash,28/08/2022,Kanyon
I254528,C339565,Male,58,Cosmetics,4,162.64,Cash,4/11/2021,Mall of Istanbul
I207643,C190917,Male,30,Toys,1,35.84,Cash,28/02/2022,Mall of Istanbul
I305024,C279747,Male,55,Clothing,4,1200.32,Credit Card,7/7/2021,Kanyon
I205336,C331127,Male,32,Cosmetics,1,40.66,Cash,1/2/2023,Istinye Park
I231029,C113739,Male,38,Clothing,4,1200.32,Cash,18/01/2023,Istinye Park
I225327,C190794,Male,61,Cosmetics,2,81.32,Cash,19/08/2022,Cevahir AVM
I323785,C501563,Male,25,Toys,2,71.68,Cash,8/1/2021,Kanyon
I808238,C336400,Male,25,Shoes,2,1200.34,Credit Card,14/07/2022,Mall of Istanbul
I241690,C270340,Male,56,Souvenir,2,23.46,Credit Card,14/06/2022,Kanyon
I643231,C330141,Male,29,Toys,4,143.36,Cash,3/2/2021,Kanyon
I318625,C319935,Male,48,Technology,5,5250.0,Cash,26/02/2023,Zorlu Center
I142245,C785507,Male,43,Cosmetics,3,121.98,Debit Card,1/12/2022,Zorlu Center
I277462,C709370,Male,33,Clothing,2,600.16,Cash,22/09/2021,Metrocity
I302151,C314705,Male,27,Technology,4,4200.0,Cash,15/03/2021,Kanyon
I254721,C282520,Male,44,Clothing,5,1500.4,Debit Card,27/09/2021,Kanyon
I279088,C140543,Male,60,Technology,3,3150.0,Credit Card,30/07/2021,Metrocity
I613381,C285587,Male,47,Clothing,1,300.08,Cash,8/2/2021,Mall of Istanbul
I318282,C121510,Male,63,Souvenir,2,23.46,Credit Card,12/1/2021,Metrocity
I212833,C331382,Male,64,Cosmetics,2,81.32,Cash,29/04/2021,Metrocity
I326146,C554087,Male,51,Clothing,2,600.16,Cash,1/7/2021,Metropol AVM
I169684,C226252,Male,21,Food & Beverage,1,5.23,Debit Card,28/07/2021,Zorlu Center
I940151,C246136,Male,34,Food & Beverage,3,15.69,Credit Card,20/09/2021,Mall of Istanbul
I266121,C198568,Male,47,Clothing,4,1200.32,Cash,5/1/2022,Kanyon
I831916,C215210,Male,42,Clothing,5,1500.4,Debit Card,24/09/2021,Mall of Istanbul
I180372,C271571,Male,49,Souvenir,5,58.65,Cash,13/09/2022,Forum Istanbul
I296369,C294604,Male,27,Food & Beverage,1,5.23,Cash,24/02/2021,Kanyon
I333045,C235178,Male,42,Clothing,1,300.08,Credit Card,9/12/2022,Kanyon
I131869,C267843,Male,58,Food & Beverage,1,5.23,Debit Card,29/01/2023,Kanyon
I713258,C219983,Male,23,Clothing,3,900.24,Cash,3/1/2021,Kanyon
I191531,C506663,Male,31,Shoes,3,1800.51,Cash,20/12/2022,Metrocity
I210803,C781893,Male,19,Clothing,4,1200.32,Credit Card,17/09/2022,Metrocity
I209258,C328444,Male,68,Cosmetics,5,203.3,Cash,7/7/2022,Metrocity
I169548,C307592,Male,44,Clothing,5,1500.4,Credit Card,15/09/2022,Mall of Istanbul
I261374,C204164,Male,45,Toys,2,71.68,Debit Card,23/04/2021,Istinye Park
I273820,C339648,Male,30,Food & Beverage,4,20.92,Credit Card,2/12/2022,Cevahir AVM
I190006,C230120,Male,39,Cosmetics,1,40.66,Debit Card,13/09/2021,Metrocity
I183583,C201255,Male,49,Cosmetics,1,40.66,Cash,11/6/2022,Forum Istanbul
I135098,C322924,Male,18,Clothing,5,1500.4,Cash,9/9/2022,Kanyon
I289516,C280253,Male,43,Clothing,5,1500.4,Credit Card,4/11/2021,Zorlu Center
I188382,C169477,Male,54,Clothing,1,300.08,Cash,14/03/2021,Emaar Square Mall
I749173,C131819,Male,43,Shoes,4,2400.68,Credit Card,23/07/2022,Mall of Istanbul
I752413,C442324,Male,44,Clothing,3,900.24,Credit Card,13/10/2021,Mall of Istanbul
I254886,C114347,Male,36,Technology,2,2100.0,Debit Card,31/08/2021,Mall of Istanbul
I251184,C259884,Male,58,Cosmetics,5,203.3,Credit Card,3/12/2021,Metrocity
I338411,C884264,Male,60,Books,5,75.75,Credit Card,17/01/2023,Mall of Istanbul
I716822,C146582,Male,25,Food & Beverage,5,26.15,Credit Card,5/6/2021,Mall of Istanbul
I267714,C297404,Male,30,Clothing,4,1200.32,Cash,20/03/2021,Kanyon
I268823,C230543,Male,30,Clothing,1,300.08,Debit Card,8/2/2023,Istinye Park
I325587,C295864,Male,33,Food & Beverage,1,5.23,Cash,28/07/2021,Viaport Outlet
I112845,C323307,Male,69,Cosmetics,5,203.3,Cash,13/10/2021,Metrocity
I206246,C506887,Male,27,Food & Beverage,5,26.15,Cash,4/12/2021,Kanyon
I236100,C330221,Male,64,Food & Beverage,3,15.69,Credit Card,18/09/2021,Mall of Istanbul
I298339,C336104,Male,59,Food & Beverage,1,5.23,Debit Card,12/6/2021,Mall of Istanbul
I863565,C128312,Male,25,Cosmetics,5,203.3,Cash,28/03/2021,Viaport Outlet
I297768,C310310,Male,56,Clothing,4,1200.32,Cash,6/11/2021,Istinye Park
I204541,C354331,Male,29,Toys,4,143.36,Cash,5/7/2021,Kanyon
I528108,C131221,Male,24,Books,1,15.15,Debit Card,16/10/2022,Metropol AVM
I109605,C207415,Male,43,Cosmetics,3,121.98,Debit Card,27/10/2021,Mall of Istanbul
I202868,C254007,Male,30,Clothing,2,600.16,Debit Card,27/02/2022,Kanyon
I551504,C587022,Male,33,Shoes,1,600.17,Debit Card,30/03/2022,Zorlu Center
I834928,C242182,Male,56,Clothing,5,1500.4,Debit Card,10/8/2022,Emaar Square Mall
I301887,C331182,Male,30,Technology,4,4200.0,Credit Card,13/04/2021,Zorlu Center
I161868,C333202,Male,29,Food & Beverage,5,26.15,Debit Card,17/03/2021,Emaar Square Mall
